transaction_name,matched_building_name,match_score
"Lippo Centre, Tower 2","Lippo Centre, Tower 2",100.0
Admiralty Centre 2 Harcourt Road,Admiralty Centre Tower 2,85.71428571428571
"Lippo Centre, Tower 1","Lippo Centre, Tower 1",100.0
Citic Tower,Citic Tower,100.0
Admiralty Centre Tower 1,Admiralty Centre Tower 1,100.0
Admiralty Centre Harcourt Road,Admiralty Centre Tower 1,80.0
One Pacific Place,One Pacific Place,100.0
Two Pacific Place,Two Pacific Place,100.0
Fairmont House,Fairmont House,100.0
Far East Finance Centre,Far East Finance Centre,100.0
Admiralty Centre Tower 2,Admiralty Centre Tower 2,100.0
Far East Finance Centre Harcourt Road,Far East Finance Centre,100.0
United Centre,United Centre,100.0
United Centre Queensway,United Centre,100.0
Cheung Kong Center II,Cheung Kong Center,100.0
Bank of America Tower,Bank of America Tower,100.0
ICBC Tower (Garden Road),ICBC Tower (Garden Road),100.0
Cheung Kong Centre II,Fu Cheung Centre,89.65517241379311
Three Pacific Place,Three Pacific Place,100.0
United Centre ,United Centre,100.0
Citic Tower Tim Mei Avenue,Citic Tower,100.0
Far East Finance Centre ,Far East Finance Centre,100.0
One Pacific Place ,One Pacific Place,100.0
"Lippo Centre, Tower 2 ","Lippo Centre, Tower 2",100.0
Admiralty Centre 2,Admiralty Centre Tower 2,100.0
Two Pacific Place ,Two Pacific Place,100.0
"Lippo Centre, Tower 1 ","Lippo Centre, Tower 1",100.0
Fairmont House ,Fairmont House,100.0
Admiralty Centre,Admiralty Centre Tower 1,100.0
Admiralty Centre Tower 1 ,Admiralty Centre Tower 1,100.0
Admiralty Centre Tower 2 ,Admiralty Centre Tower 2,100.0
Citic Tower ,Citic Tower,100.0
Lippo Tower,"Lippo Centre, Tower 2",100.0
Sing Woo Building Sing Woo Road,Bcc Building,80.0
Honest Building,Henley Building,80.0
Chinachem Leighton Plaza,Chinachem Leighton Plaza,100.0
Chinachem Leighton Plaza Leighton Road,Chinachem Leighton Plaza,100.0
First Commercial Building,Witty Commercial Building,88.0
13 Yuk Sau Street,3 Yuk Yat Street,84.84848484848484
37 Yik Yam Street,3 Yuk Yat Street,84.84848484848484
Yee Fung Building Village Road,Man Yee Building,85.71428571428571
39 Yik Yam Street,3 Yuk Yat Street,84.84848484848484
Yuk Sing Building Yuk Sau Street,Bcc Building,80.0
Sing Woo Building,Sing Teck Factory Building,86.66666666666667
First Commercial Building ,Witty Commercial Building,88.0
Yuk Sing Building,Yue Hing Building,88.23529411764706
Honest Building ,Henley Building,80.0
Chinachem Leighton Plaza ,Chinachem Leighton Plaza,100.0
35 Yik Yam Street,3 Yuk Yat Street,84.84848484848484
30 Yik Yam Street,3 Yuk Yat Street,84.84848484848484
32 Yik Yam Street,3 Yuk Yat Street,84.84848484848484
Chaiwan Industrial Centre,Chaiwan Industrial Centre,100.0
Trend Centre,Trend Centre,100.0
Honour Industrial Centre,Honour Industrial Centre,100.0
Shell Industrial Building,Shell Industrial Building,100.0
Fortune Factory Building A,Fortune Factory Building A,100.0
Hong Man Industrial Centre,Hong Man Industrial Centre,100.0
Decca Industrial Centre,Decca Industrial Centre,100.0
MP Industrial Centre Block B,MP Industrial Centre Block B,100.0
Man Foong Industrial Building,Man Foong Industrial Building,100.0
Paramount Building,Paramount Building,100.0
Chai Wan Industrial City I,Chai Wan Industrial City I,100.0
Reality Tower,Reality Tower,100.0
Kantone Centre,Kantone Centre,100.0
Yeung Yiu Chung (No. 7) Industrial Bldg.,Yeung Yiu Chung (No. 7) Industrial Bldg.,100.0
Sze Hing Loong Industrial Building,Sze Hing Loong Industrial Building,100.0
Fortune Factory Building B,Fortune Factory Building B,100.0
Kam Man Fung Factory Building,Kam Man Fung Factory Building,100.0
Kailey Industrial Centre A,Kailey Industrial Centre A,100.0
Golden Mine Building Chai Wan Road,Bcc Building,80.0
Luen Fat Loong Factory Building,Luen Fat Loong Factory Building,100.0
Federal Centre,Freder Centre,88.88888888888889
Sunrise Industrial Building,Sunrise Industrial Building,100.0
Cheung Tat Centre,Cheung Tat Centre,100.0
Yip Cheung Centre,Yip Cheung Centre,100.0
Sunview Industrial Building,Sunview Industrial Building,100.0
Wah Shing Centre (SSW),Wah Shing Centre (SSW),100.0
Tak King Industrial Building,Tak King Industrial Building,100.0
Chi Ko Industrial Building,Chi Ko Industrial Building,100.0
Cornell Centre,Cornell Centre,100.0
Yiko Industrial Building,Yiko Industrial Building,100.0
Cheung Yick Industrial Building,Cheung Yick Industrial Building,100.0
Kailey Industrial Centre B,Kailey Industrial Centre B,100.0
Gee Wing Chang Industrial Building,Gee Wing Chang Industrial Building,100.0
Sum Lung Industrial Building,Sum Lung Industrial Building,100.0
Hop Ming Factory Building,Hop Ming Factory Building,100.0
Chai Wan Industrial City II,Chai Wan Industrial City II,100.0
Cheung Wei Industrial Building,Cheung Wei Industrial Building,100.0
Cheung Lee Industrial Building,Cheung Lee Industrial Building,100.0
Shing King Industrial Building (CW),Shing King Industrial Building (CW),100.0
Gee Tung Chang Industrial Building,Gee Tung Chang Industrial Building,100.0
Hong Kong (Chai Wan) Industrial Building,Hong Kong (Chai Wan) Industrial Building,100.0
Eight Commercial Tower,Eight Commercial Tower,100.0
TCL Centre,CRE Centre,80.0
Prince Industrial Building (SSW),Prince Industrial Building (SSW),100.0
Eltee Building,Eltee Building,100.0
Unison Industrial Building,Unison Industrial Building,100.0
Summit Industrial Building,Summit Industrial Building,100.0
Hop Shi Factory Building,Hop Shi Factory Building,100.0
Sze Hing Industrial Building,Sze Hing Loong Industrial Building,100.0
MP Industrial Centre Block A,MP Industrial Centre Block A,100.0
Safety Godown Industrial Building,Yiko Industrial Building,88.37209302325581
Glory Industrial Building,Glory Industrial Building,100.0
Sino Favour Centre,Sino Favour Centre,100.0
Kut Shing Building,Kut Shing Building,100.0
Gold Mine Building,Gold King Industrial Building,83.87096774193549
Asia One Tower,Asia One Tower,100.0
Haking (Tung Shing) Industrial Building,Yiko Industrial Building,88.37209302325581
Chai Wan Cinema Building,Bcc Building,80.0
Winner Centre,Pioneer Centre,81.48148148148148
Minico Building,Minico Building,100.0
Chai Wan Industrial City Block 2,Chai Wan Industrial City I,96.0
Federal Centre ,Freder Centre,88.88888888888889
Chai Wan Industrial City Block 1,Chai Wan Industrial City I,96.0
Shing King Industrial Building,Shing King Industrial Building (CW),100.0
Yeung Yiu Chun (No. 7) Industrial Bldg.,Yeung Yiu Chung (No. 7) Industrial Bldg.,98.73417721518987
Shun Yee Factory Building,Shun Yee Factory Building,100.0
Golden Mine Building,Golden Harvest Building,85.71428571428571
Fook Hing Factory Building,Fook Hing Factory Building,100.0
Mega-iAdvantage,Mega-iAdvantage,100.0
Chung On Industrial Building,Chung On Industrial Building,100.0
Haven Commercial Building,Prosperous Commercial Building,86.36363636363636
148 Electric Road,228 Electric Road,88.23529411764706
Diva Electric Road,228 Electric Road,86.66666666666667
Citicorp Centre,Citicorp Centre,100.0
King's Commercial Centre,Boss Commercial Centre,87.17948717948718
22-52 Electric Road,228 Electric Road,88.88888888888889
Sea View Estate B,Sea View Estate B,100.0
Hoi Ying Building,Ying Tung Industrial Building,86.66666666666667
Hoi Shing Building Electric Road,Kut Shing Building,87.5
Merlin Garden Electric Road,228 Electric Road,86.66666666666667
74-78 Electric Road,228 Electric Road,86.66666666666667
LEE KING MANSION Electric Road,228 Electric Road,86.66666666666667
Fai Hon Building Ngan Mok Street,Wing Fai Building,82.75862068965517
80-86 Electric Road,228 Electric Road,86.66666666666667
63-81 Electric Road,228 Electric Road,86.66666666666667
Sea View Estate A,Sea View Estate A,100.0
Parkview Centre,Parklane Centre,80.0
130 Electric Road,228 Electric Road,86.66666666666667
Corn Yan Centre,Yan Hing Centre,80.0
127 Electric Road,228 Electric Road,88.23529411764706
Fu Fung Building Tsing Fung Street,Bcc Building,80.0
300 Electric Road,228 Electric Road,86.66666666666667
64 Electric Road,228 Electric Road,89.65517241379311
62 Electric Road,228 Electric Road,90.9090909090909
66 Electric Road,228 Electric Road,89.65517241379311
SL Ginza Electric Road,228 Electric Road,86.66666666666667
107-109 Electric Road,228 Electric Road,86.66666666666667
254-280 Electric Road,228 Electric Road,89.47368421052632
123 Electric Road,228 Electric Road,88.23529411764706
304 Electric Road,228 Electric Road,86.66666666666667
13-41 Electric Road,228 Electric Road,86.66666666666667
Sea View Estate C,Sea View Estate C,100.0
228 Electric Road,228 Electric Road,100.0
Park Aura Electric Road,228 Electric Road,86.66666666666667
218 Electric Road Electric Road,228 Electric Road,94.11764705882354
City Garden Electric Road,228 Electric Road,86.66666666666667
110-112 Electric Road,228 Electric Road,86.66666666666667
160 Electric Road,228 Electric Road,86.66666666666667
128 Electric Road,228 Electric Road,94.11764705882354
92-94 Electric Road,228 Electric Road,86.66666666666667
98-100 Electric Road,228 Electric Road,86.66666666666667
136 Electric Road,228 Electric Road,86.66666666666667
Tobacco House Wing Hing Street,Wing On House,86.95652173913044
Morecrown Commercial Building,Witty Commercial Building,86.36363636363636
169 Electric Road,228 Electric Road,86.66666666666667
121 Electric Road,228 Electric Road,88.23529411764706
129 Electric Road,228 Electric Road,88.23529411764706
233 Electric Road,228 Electric Road,88.23529411764706
96 Electric Road,228 Electric Road,89.65517241379311
Fat Cheong Building Electric Road,Cheong Lee Building,88.23529411764706
113-115 Electric Road,228 Electric Road,86.66666666666667
106-108 Electric Road,228 Electric Road,86.66666666666667
Ngan Tao Building Whitfield Road,Bcc Building,80.0
308 Electric Road,228 Electric Road,88.23529411764706
1 Wing Hing Street,9 Wing Hong Street,88.88888888888889
27 Wing Hing Street,20 Wing Hong Street,89.47368421052632
Victoria Centre Watson Road,Watson Centre,100.0
Po Wing Building Shell Street,Wing Fai Building,86.66666666666667
302 Electric Road,228 Electric Road,88.23529411764706
160-164 Electric Road,228 Electric Road,86.66666666666667
Golden Court Electric Road,228 Electric Road,86.66666666666667
2 Wing Hing Street,20 Wing Hong Street,91.89189189189189
Hoi Ying Building ,Ying Tung Industrial Building,86.66666666666667
Corn Yan Centre ,Yan Hing Centre,80.0
Haven Commercial Building ,Prosperous Commercial Building,86.36363636363636
Citicorp Centre ,Citicorp Centre,100.0
148 Electric Road ,228 Electric Road,88.23529411764706
218 Electric Road,228 Electric Road,94.11764705882354
Aia Tower,Vita Tower,84.21052631578948
Morecrown Commercial Building ,Witty Commercial Building,86.36363636363636
Parkview Centre ,Parklane Centre,80.0
Fat Cheong Building,Cheong Fat Factory Building,100.0
King's Commercial Centre ,Boss Commercial Centre,87.17948717948718
Hoi Shing Building,Kut Shing Building,87.5
Ngan Tao Building,Bcc Building,80.0
Po Wing Building,Po Wai Building,90.3225806451613
Tai Wah Building,Wah Tai Industrial Building,100.0
Fai Hon Building,Ping Fai Industrial Building,85.71428571428571
Chu Kee Building ,Kee Wah Industrial Building,85.71428571428571
25 Wing Hing Street,20 Wing Hong Street,89.47368421052632
8 Wing Hing Street,9 Wing Hong Street,88.88888888888889
58 Electric Road,228 Electric Road,90.9090909090909
17 Wing Hing Street,9 Wing Hong Street,86.48648648648648
102 Electric Road,228 Electric Road,88.23529411764706
19 Wing Hing Street,9 Wing Hong Street,91.89189189189189
20 Tsing Fung Street,20 Wing Hong Street,82.05128205128204
296 Electric Road,228 Electric Road,88.23529411764706
100 Electric Road,228 Electric Road,86.66666666666667
97 Electric Road,228 Electric Road,89.65517241379311
Splendid Place Tai Koo Shing Road,M Place,83.33333333333333
Splendid Place,M Place,83.33333333333333
Tung Fai Building,Tai Tung Building,94.11764705882354
Eastern Central Plaza,Central Plaza,100.0
Asia Harvest Commercial Centre,Boss Commercial Centre,87.17948717948718
Hoi Fung Centre Po Man Street,Nan Fung Centre,84.61538461538461
Centro-Sound Industrial Building,Centro-Sound Industrial Building,100.0
Smiling S.K.W. Plaza Nam Hong Street,Hong Kong Plaza,80.0
Eastern Commercial Centre,Eastern Centre,100.0
Hop Lung Factory Building,Hop Lung Factory Building,100.0
King Fai Building Shau Kei Wan Main Street East,Wing Fai Building,82.75862068965517
Fung Yuen Building Shau Kei Wan Road,Bcc Building,80.0
Sun Hung Lee Building Ngoi Man Street,Man Yee Building,85.71428571428571
Manson Industrial Building,Unison Industrial Building,92.3076923076923
Tung Hing Building Shau Kei Wan Main Street East,Tai Tung Building,86.66666666666667
Kwong Shun Building Shau Kei Wan Main Street East,Bcc Building,80.0
Yick Ga Building Shau Kei Wan Road,Bcc Building,80.0
Wah Po Commercial Centre,K Wah Centre,90.9090909090909
Harmony Place Shau Kei Wan Road,M Place,83.33333333333333
Len Shing Industrial Centre,Len Shing Industrial Centre,100.0
Yip Ning Building Shau Kei Wan Road,Fook Yip Building,82.75862068965517
Po Fuk Building Shau Kei Wan Road,Po Wai Building,84.61538461538461
Ho King Building Shau Kei Wan Main Street East,Bcc Building,80.0
Tung Fai Building Shau Kei Wan Main Street East,Tai Tung Building,86.66666666666667
Centro-sound Industrial Building A Kung Ngam Village Road,Yiko Industrial Building,88.37209302325581
Sun Lee Building Ngoi Man Street,Man Yee Building,85.71428571428571
