Building Name,Address,Detail URL
Yiuga Fty Bldg,62 Victoria Road,https://www.midlandici.com.hk/ics/property/building/details/B000025468/Yiuga-Fty-Bldg
Chai Wan Ind City Ph 1,60 Wing Tai Road,https://www.midlandici.com.hk/ics/property/building/details/B000007901/Chai-Wan-Ind-City-Ph-1
Chai Wan Ind City Ph 2,70 Wing Tai Road,https://www.midlandici.com.hk/ics/property/building/details/B000007903/Chai-Wan-Ind-City-Ph-2
Cheung Lee Ind Bldg,9 Cheung Lee Street,https://www.midlandici.com.hk/ics/property/building/details/B000007205/Cheung-Lee-Ind-Bldg
Cheung Tat Ctr,18 Cheung Lee Street,https://www.midlandici.com.hk/ics/property/building/details/B000007206/Cheung-Tat-Ctr
China Resources Chaiwan Warehouse,50 Ka Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000020634/China-Resources-Chaiwan-Warehouse
Cornell Ctr,50 Wing Tai Road,https://www.midlandici.com.hk/ics/property/building/details/B000007209/Cornell-Ctr
Decca Industrial Centre,12 Kut Shing Street,https://www.midlandici.com.hk/ics/property/building/details/B000007509/Decca-Industrial-Centre
Eastern Ctr,1065 King's Road,https://www.midlandici.com.hk/ics/property/building/details/B000007214/Eastern-Ctr
Eastern Harbour Ctr,28 Hoi Chak Street,https://www.midlandici.com.hk/ics/property/building/details/B000007211/Eastern-Harbour-Ctr
Fortune Fty Bldg Blk A,40 Lee Chung Street,https://www.midlandici.com.hk/ics/property/building/details/B000007513/Fortune-Fty-Bldg-Blk-A
Fortune Fty Bldg Blk B,40 Lee Chung Street,https://www.midlandici.com.hk/ics/property/building/details/B000059626/Fortune-Fty-Bldg-Blk-B
Hong Man Ind Ctr,2 Hong Man Street,https://www.midlandici.com.hk/ics/property/building/details/B000007510/Hong-Man-Ind-Ctr
Honour Industrial Centre,6 Sun Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007210/Honour-Industrial-Centre
Hop Shi Fty Bldg,29-31 Lee Chung Street,https://www.midlandici.com.hk/ics/property/building/details/B000007078/Hop-Shi-Fty-Bldg
Kailey Ind Ctr,1 Fung Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007844/Kailey-Ind-Ctr
Kailey Ind Ctr Blk B,12 Fung Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007845/Kailey-Ind-Ctr-Blk-B
Kodak Hse Blk 2,39 Healthy Street East,https://www.midlandici.com.hk/ics/property/building/details/B000020827/Kodak-Hse-Blk-2
M P Ind Ctr Blk A,18 Ka Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007842/M-P-Ind-Ctr-Blk-A
M P Ind Ctr Blk B,18 Ka Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007843/M-P-Ind-Ctr-Blk-B
Mega-iadvantage,399 Chai Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000024368/Mega-iadvantage
Paramount Bldg,12 Ka Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007208/Paramount-Bldg
Safety Godown Industrial Building,56 Ka Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007055/Safety-Godown-Industrial-Building
Sea View Est Blk A,2 Watson Road,https://www.midlandici.com.hk/ics/property/building/details/B000007847/Sea-View-Est-Blk-A
Sea View Est Blk B,4-6 Watson Road,https://www.midlandici.com.hk/ics/property/building/details/B000007848/Sea-View-Est-Blk-B
Sea View Est Blk C,8 Watson Road,https://www.midlandici.com.hk/ics/property/building/details/B000056176/Sea-View-Est-Blk-C
Sino Favour Ctr,1 On Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007511/Sino-Favour-Ctr
Sunview Industrial Building,3 On Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007059/Sunview-Industrial-Building
Technology Plaza,651 King's Road,https://www.midlandici.com.hk/ics/property/building/details/B000007490/Technology-Plaza
Tung Chong Fty Bldg,653-659 King's Road,https://www.midlandici.com.hk/ics/property/building/details/B000007218/Tung-Chong-Fty-Bldg
Westlands Ctr,20 Westlands Road,https://www.midlandici.com.hk/ics/property/building/details/B000007212/Westlands-Ctr
Yiko Industrial Building,10 Ka Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007064/Yiko-Industrial-Building
Yip Cheung Ctr,10 Fung Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007065/Yip-Cheung-Ctr
Grand Marine Center,3 Yue Fung Street,https://www.midlandici.com.hk/ics/property/building/details/B000019530/Grand-Marine-Center
Harbour Ind Ctr,10 Lee Hing Street,https://www.midlandici.com.hk/ics/property/building/details/B000019713/Harbour-Ind-Ctr
Hing Wai Ctr,7 Tin Wan Praya Road,https://www.midlandici.com.hk/ics/property/building/details/B000019903/Hing-Wai-Ctr
Horizon Plaza,2 Lee Wing Street,https://www.midlandici.com.hk/ics/property/building/details/B000090803/Horizon-Plaza
Kingley Ind Bldg Blk 1,33-35 Yip Kan St,https://www.midlandici.com.hk/ics/property/building/details/B000059768/Kingley-Ind-Bldg-Blk-1
Kingley Ind Bldg Blk 2,33-35 Yip Kan St,https://www.midlandici.com.hk/ics/property/building/details/B000020762/Kingley-Ind-Bldg-Blk-2
Leader Ind Ctr,37 Wong Chuk Hang Road,https://www.midlandici.com.hk/ics/property/building/details/B000021173/Leader-Ind-Ctr
Oceanic Ind Ctr,2 Lee Lok Street,https://www.midlandici.com.hk/ics/property/building/details/B000022225/Oceanic-Ind-Ctr
Yan's Twr,25-27 Wong Chuk Hang Road,https://www.midlandici.com.hk/ics/property/building/details/B000025236/Yan-s-Twr
Hang Chong Ctr,136-146 Bedford Road,https://www.midlandici.com.hk/ics/property/building/details/B000019636/Hang-Chong-Ctr
Khora,128 Bedford Road,https://www.midlandici.com.hk/ics/property/building/details/B000084440/Khora
Mow Shing Ctr,118 Bedford Road,https://www.midlandici.com.hk/ics/property/building/details/B000021990/Mow-Shing-Ctr
Silicon Tower,82-88 Larch Street,https://www.midlandici.com.hk/ics/property/building/details/B000023343/Silicon-Tower
Solo,81 Bedford Road,https://www.midlandici.com.hk/ics/property/building/details/B000068633/Solo
Splendid Ctr,94-108 Larch Street,https://www.midlandici.com.hk/ics/property/building/details/B000023475/Splendid-Ctr
Style Fty Bldg,9 Elm Street,https://www.midlandici.com.hk/ics/property/building/details/B000023523/Style-Fty-Bldg
Sunbeam Plaza,1155 Canton Road,https://www.midlandici.com.hk/ics/property/building/details/B000023620/Sunbeam-Plaza
Tai Chi Fty Bldg,25-29 Kok Cheung Street,https://www.midlandici.com.hk/ics/property/building/details/B000023708/Tai-Chi-Fty-Bldg
