Building Name,Address,URL,Type,Completion,Title,No. of Floors,Passenger Lift,Cargo Lift,Car Park,Loading Area,Cargo,Management Fee (Approx. per sq. ft.),Ceiling Height(Approx.),Floor Remark,Air Conditioning,Transport,Management Company,Air Conditioning Opening Times,Total Area,Grade,Raised Floor
Yiuga Fty Bldg,62 Victoria Road,https://www.midlandici.com.hk/ics/property/building/details/B000025468/Yiuga-Fty-Bldg?lang=english,Industrial,1986,Spin-Off,23,1,2,,,,"@1.43
            (Information: Year 2022)","Ground Floor: 4.7M
1st Floor to 23rd Floor: 3.05M",Not including Ground Floor,,,,,,,
Chai Wan Ind City Ph 1,60 Wing Tai Road,https://www.midlandici.com.hk/ics/property/building/details/B000007901/Chai-Wan-Ind-City-Ph-1?lang=english,Industrial,1989,Spin-Off,22,1,5,,,,"@1.53
            (Information: Year 2023)","Floor 12-21 - 12 ft, 6 in
Floor 7-11 - 12 ft, 6 in
Floor 2-6 - 14 ft, 9 in
Floor 1 - 15 ft, 5 in
Floor G - 16 ft, 5 in",Not including Ground Floor,Independent,"Close to Chai Wan MTR Station, Chai Wan Ferry Pier, Bus and Minibus",,,,,
Chai Wan Ind City Ph 2,70 Wing Tai Road,https://www.midlandici.com.hk/ics/property/building/details/B000007903/Chai-Wan-Ind-City-Ph-2?lang=english,Industrial,1988,Spin-Off,22,1,5,,,,"@1.26
            (Information: Year 2022)","Floor 11-21 - 12 ft, 6 in
Floor 2-6 - 14 ft, 9 in
Floor 7-10 - 12 ft, 6 in
Floor G - 16 ft, 5 in
Floor 1 - 15 ft, 5 in",Not including Ground Floor,,"Close to Chai Wan MTR Station, Chai Wan Ferry Pier, Bus and Minibus",,,,,
Cheung Lee Ind Bldg,9 Cheung Lee Street,https://www.midlandici.com.hk/ics/property/building/details/B000007205/Cheung-Lee-Ind-Bldg?lang=english,Industrial,1988,Spin-Off,24,1,3,,,,"@1.48
            (Information: Year 2021)","Floor 17-24 - 10 ft, 6 in
Floor 9-16 - 10 ft, 6 in
Floor 1-8 - 10 ft, 6 in
Floor G - 17 ft, 7 in",Not including Ground Floor,Independent,"Close to Chai Wan MTR Station, Bus and Minibus",,,,,
Cheung Tat Ctr,18 Cheung Lee Street,https://www.midlandici.com.hk/ics/property/building/details/B000007206/Cheung-Tat-Ctr?lang=english,Industrial,1993,Spin-Off,24,1,3,,,,"@1.15
            (Information: Year 2023)","Floor 24 - 13 ft, 7 in
Floor 17-24 - 10 ft, 4 in
Floor 9-16 - 10 ft, 4 in
Floor 3-11 - 10 ft, 4 in",Not including Ground Floor,,"Close to Chai Wan MTR Station, Bus and Minibus",Wellart Property Management Limited,,,,
China Resources Chaiwan Warehouse,50 Ka Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000020634/China-Resources-Chaiwan-Warehouse?lang=english,Godown,1988,Spin-Off,5,1,9,,,,"@1.25
            (Information: Year 2022)","Floor 9-14 - 9 ft, 10 in
Floor 5-8 - 9 ft, 10 in
Floor 1-2 - 11 ft, 5 in
Floor 3-4 - 9 ft, 10 in
Floor G - 14 ft, 1 in",Not including Ground Floor,,Close to Chai Wan MTR Station,,,,,
Cornell Ctr,50 Wing Tai Road,https://www.midlandici.com.hk/ics/property/building/details/B000007209/Cornell-Ctr?lang=english,Industrial,1990,Spin-Off,21,2,4,,,,"@1.27
            (Information: Year 2021)","Floor 7 - 12 ft, 6 in
Floor 3 - 14 ft, 9 in
Floor 1 - 15 ft, 11 in
Floor 2 - 14 ft, 3 in
Floor G - 16 ft, 5 in",Not Including Ground Floor,Independent,Close to Bus and Minibus,,,,,
Decca Industrial Centre,12 Kut Shing Street,https://www.midlandici.com.hk/ics/property/building/details/B000007509/Decca-Industrial-Centre?lang=english,Industrial,1987,Spin-Off,15,2,5,,,,"@1.3
            (Information: Year 2022)","Ground Floor:
Room 1 & Room 2: 13ft 5.5in
Room 3: 15ft 3.5in
Room 4 to Room 5: 15ft 11 3/4in
Room 6 to Room 7: 19ft 11/8in
1st Floor to 2nd Floor: 15ft 7in
3nd Floor to 7th Floor: 10ft 6in",Not including Ground Floor,Independent,,康業,,,,
Eastern Ctr,1065 King's Road,https://www.midlandici.com.hk/ics/property/building/details/B000007214/Eastern-Ctr?lang=english,Industrial,1983,Spin-Off,21,,,,,,"@0.85
            (Information: Year 2020)","LB/F: 15 ft 7 in.
B/F: 11 ft 3 in. - 13 ft 1 in.
G/F: 16 ft 5 in. - 17 ft 2 in.
1-3/F: 10 ft 1 in.
4-21/F: 10 ft 9 in.","Not including 2nd Basement, 1st Basement and Ground Floor",Independent,"Close to Quarry Bay MTR Station, Bus and Minibus",,,,,
Eastern Harbour Ctr,28 Hoi Chak Street,https://www.midlandici.com.hk/ics/property/building/details/B000007211/Eastern-Harbour-Ctr?lang=english,Godown,1991,Spin-Off,18,3,4,,,,"@1.31
            (Information: Year 2020)","Floor 13-18 - 15 ft, 9 in
Floor 7-12 - 15 ft, 9 in
Floor G - 17 ft, 10 in
Floor 1 - 16 ft, 3 in
Floor 2 - 16 ft, 3 in
Floor 3-6 - 15 ft, 9 in",Not including Ground Floor,Independent,"Close to Quarry Bay MTR Station, Bus and Minibus",,,,,
Fortune Fty Bldg Blk A,40 Lee Chung Street,https://www.midlandici.com.hk/ics/property/building/details/B000007513/Fortune-Fty-Bldg-Blk-A?lang=english,Industrial,1977,Spin-Off,24,1,3,,,,"@0.81
            (Information: Year 2021)",,Not including Ground Floor,,,,,,,
Fortune Fty Bldg Blk B,40 Lee Chung Street,https://www.midlandici.com.hk/ics/property/building/details/B000059626/Fortune-Fty-Bldg-Blk-B?lang=english,Industrial,1977,Spin-Off,24,1,3,,,,"@0.9
            (Information: Year 2021)",,Not including Ground Floor,,,VIGERS PROPERTY MANAGEMENT SERVICES (HONG KONG) LIMITED,,,,
Hong Man Ind Ctr,2 Hong Man Street,https://www.midlandici.com.hk/ics/property/building/details/B000007510/Hong-Man-Ind-Ctr?lang=english,Industrial,1985,Spin-Off,23,2,8,,,,"@1.15
            (Information: Year 2021)","Lower Ground Floor 3: 16ft 5in
Lower Ground Floor 2: 15ft 5in
Lower Ground Floor 1: 17ft 9in
Ground Floor: 14ft 1in
1st Floor to 23rd Floor: 10ft","Not Including Lower Ground Floor 3, Lower Ground Floor 2, Lower Ground Floor 1 and Ground Floor",Independent,"Close to Chai Wan MTR Station, bus and minibus",偉雅物業管理有限公司,,,,
Honour Industrial Centre,6 Sun Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007210/Honour-Industrial-Centre?lang=english,Industrial,1989,Spin-Off,26,3,12,,,,"@1.25
            (Information: Year 2021)","Floor 19-26 - 11 ft, 6 in
Floor 12-18 - 11 ft, 6 in
Floor 1 - 17 ft, 3 in
Floor 2 - 13 ft, 9 in
Floor 3 - 11 ft, 6 in
Floor 4-11 - 11 ft, 6 in",Not including Ground Floor,,"Close to Chai Wan MTR Station, Bus and Minibus",,,,,
Hop Shi Fty Bldg,29-31 Lee Chung Street,https://www.midlandici.com.hk/ics/property/building/details/B000007078/Hop-Shi-Fty-Bldg?lang=english,Industrial,1964,Spin-Off,8,,,,,,"@0.42
            (Information: Year 2021)",,"Not including Basement,  Ground Floor and Penthouse",,,,,,,
