sbu,id,nameEn,nameZh,addressEn,addressZh,__typename,district_id,district_name_en,district_name_cn,property_type,property_type_code,district_property_type
mr_ind,B000025468,YIUGA FTY BLDG,耀基工廈,62 VICTORIA ROAD,域多利道62號,Building,1,Central and Western District,中西區,Industrial,mr_ind,Central and Western District_Industrial
mr_comm,B000115397,WOHO,WOHO,119 Jervois Street,蘇杭街119號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000112477,The Henderson,The Henderson,2 Murray Road,美利道2號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000089563,L L Tower,L L Tower,2-4 Shelley Street,些利街2-4號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000058939,Two International Finance Centre,國際金融中心二期,8 Finance Street,金融街8號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000063699,181 Queen's Road Central,皇后大道中181號,181 Queen's Road Central,皇后大道中181號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000018407,10-12 Pottinger Street,砵甸乍街10-12號,10-12 Pottinger Street,砵甸乍街10-12號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000060541,128 Wellington Street,威靈頓街128號,128 Wellington Street,威靈頓街128號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000022040,Nam Wo Hong Building,南和行大廈,No.148 Wing Lok Street,永樂街No.148號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000122674,China Merchants Plaza,招商局廣場,153 Connaught Road Central,干諾道中153號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000063825,One International Finance Centre,國際金融中心一期,1 Harbour View Road,港景街1號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000023965,The Center,中環中心,99 Queen's Road Central,皇后大道中99號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000008325,6 Wilmer Street,威利麻街6號,6 Wilmer Street,威利麻街6號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000054569,Two Pacific Place,太古廣場二座,88 Queensway,金鐘道88號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000063488,Admiralty Centre Tower II,海富中心二期,18 Harcourt Road,夏愨道18號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000025239,Yat Chau Building,一洲大廈,262 Des Voeux Road Central,德輔道中262號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000008409,Yardley Commercial Building,億利商業大廈,3 Connaught Road West,干諾道西3號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000025173,World-Wide House,環球大廈,19 Des Voeux Road Central,德輔道中19號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000007685,Universal Trade Centre,環貿中心,3 Arbuthnot Road,亞畢諾道3號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000007683,33 Des Voeux Road Central,德輔道中33號,33 Des Voeux Road Central,德輔道中33號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000007651,United Centre,統一中心,95 Queensway,金鐘道95號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000024275,Tung Hip Commercial Building,東協商業大廈,244 Des Voeux Road Central,德輔道中244號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000023407,Singga Commercial Centre,成基商業中心,144-151 Connaught Road West,干諾道西144-151號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000006982,8 Queen's Road Central,皇后大道中八號,8 Queen's Road Central,皇后大道中8號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
mr_comm,B000054008,Shun Tak Centre (West Tower),信德中心(西座),168-200 Connaught Road Central,干諾道中168-200號,Building,1,Central and Western District,中西區,Office,mr_comm,Central and Western District_Office
