name,url,property_type,source
+Woo Phase 1+WOO嘉湖一期,/building/woo-phase-1/17627,shop,direct_link
+Woo Phase 2+WOO嘉湖二期,/building/woo-phase-2/12927,shop,direct_link
1 Chatham Road South漆咸道南一號,/building/1-chatham-road-south/3211,shop,direct_link
1 Des Voeux Road West德輔道西一號,/building/1-des-voeux-road-west/842,shop,direct_link
1 Duddell Street都爹利街一號,/building/1-duddell-street/1967,shop,direct_link
1 Hee Wong Terrace羲皇臺1號,/building/1-hee-wong-terrace/18148,shop,direct_link
1 Lan Kwai Fong蘭桂坊1號,/building/1-lan-kwai-fong/2566,shop,direct_link
1-1A Java Road福建商會大廈,/building/1-1a-java-road/17578,shop,direct_link
1-2 Li Yuen Street East利源東街1-2號,/building/1-2-li-yuen-street-east/5657,shop,direct_link
10 Bonham Strand文咸東街10號,/building/10-bonham-strand/13613,shop,direct_link
10 Knutsford諾士佛臺10號,/building/10-knutsford/6552,shop,direct_link
10 Pottinger Street砵典乍街10號,/building/10-pottinger-street/2139,shop,direct_link
10 Prat Avenue寶勒巷10號,/building/10-prat-avenue/3482,shop,direct_link
10 Wellington威靈頓街10號,/building/10-wellington/17381,shop,direct_link
1001 King's Road英皇道1001號,/building/1001-king-s-road/1835,shop,direct_link
102 Austin Road柯士甸道102號,/building/102-austin-road/2712,shop,direct_link
11 Lan Fong Road蘭芳道11號,/building/11-lan-fong-road/7931,shop,direct_link
11 Queen Victoria Street域多利皇后街11號,/building/11-queen-victoria-street/3607,shop,direct_link
11 Skies,/building/11-skies/17508,shop,direct_link
11 Stanley Street士丹利街11號,/building/11-stanley-street/2046,shop,direct_link
118 Connaught Road West干諾道西118號,/building/118-connaught-road-west/639,shop,direct_link
118 QRC皇后大道中118號,/building/118-qrc/184,shop,direct_link
128 Connaught Road Central干諾道中128號,/building/128-connaught-road-central/107,shop,direct_link
128 Wellington Street威靈頓街128號,/building/128-wellington-street/1242,shop,direct_link
129 Queen's Road Central皇后大道中129號,/building/129-queen-s-road-central/239,shop,direct_link
13 Queen Victoria Street域多利皇后街13號,/building/13-queen-victoria-street/3599,shop,direct_link
135 Bonham Strand Trade Centre文咸東街135商業中心,/building/135-bonham-strand-trade-centre/13659,shop,direct_link
14-16 Canton Road廣東道14-16號,/building/14-16-canton-road/2372,shop,direct_link
148 Electric Road電氣道148號,/building/148-electric-road/2772,shop,direct_link
15-19 Hollywood Road荷李活道15-19號,/building/15-19-hollywood-road/3635,shop,direct_link
154 Des Voeux Road Central德輔道中154號,/building/154-des-voeux-road-central/73,shop,direct_link
