subdistrict,null_count,sample_code
Anderson,0,1-YASPWPPYPS
Siu Lek Yuen,0,1-DBPPWBPXPG
To Kwa Wan,0,1-EKBWBPGAPE
Tin Shui Wai,0,1-NTHHIHZRXH
Tai Wai,0,1-DBPPWSPRPW
Tai Shui Hang,0,1-GYPPBPESPB
Tai Po Town Centre,0,2-GWPPPPDRPB
Tai Po Market,0,1-DESPWGPJPA
Tai Kok Tsui,0,1-EEPPWGPYPS
So Kwun Wat,0,1-ZMHHTHSJSI
Siu Hong,0,1-BGPPWWPJPE
Belvedere,0,2-DMHZZHHSHD
Sheung Shui,0,2-GEPPWPPYPK
Shap Pat Heung,0,1-BEPPWAPRPD
Sham Shui Po,0,1-EGEDWPPSPD
Sha Tin,0,1-XSHTIHLXHT
San Po Kong,0,1-MSXZIHIHHZ
Quarry Bay,0,1-TNDHIHHXHX
Prince Edward,0,1-UUJCFRDRRO
Po Lam,0,2-XIMHZHZXHD
Tsim Sha Tsui,0,1-UORUQRVARU
Tsing Yi,0,1-ABPPWEPJPP
Tsuen King Circuit,0,1-QURUQRCVRQ
Tsuen Wan Hoi Bun,0,1-AEDPPPSJPW
Yuen Long Southeast,0,1-BESPWWPXPW
Yuen Long South New Development Area,0,1-BSPPWYPXPW
Yau Tong,0,1-EWPPWKPJPY
Yau Ma Tei,0,1-EEYKPPPJPB
Wong Tai Sin,0,1-EYPPWAPHPS
Wong Chuk Hang,0,1-SDPPWGPJPB
Whampoa,0,3-MZDIIHHAHN
Wan Chai,0,2-TDXDIHMSHT
Wah Fu,0,1-SDPPWEPXPE
Tung Chung Town Centre,0,2-WBPPPPAYPP
Tuen Mun Town Centre,0,3-NXLIIHSSHT
Tuen Mun South,0,1-BGPSBPAHPS
Tuen Mun San Hui,0,1-BGPPWAPXPS
Tuen Mun North,0,1-KESPWPPYPA
Tsuen Wan West,0,2-AEPPWPPRPK
Tsuen Wan Town Centre,0,1-AEPSPPYAPK
Tsuen Wan Mid-levels,0,2-AEPPWPPJSE
Ping Shan,0,1-BSPPWDPHPS
Pak Shek Kok,0,1-GWPPWKPXPG
Pak Sha Wan,0,1-YEPPWGPYPB
Kai Tak New Area,0,1-EYPPWWPEPG
Hung Shui Kiu North New Development Area,0,1-BSSPWKPXPB
Hung Hom,0,2-MZHHTHZXHD
Ho Man Tin,0,1-EAYDPPPREG
Heng On,0,1-DBPPWAPSPD
Happy Valley,0,2-OSRDFRRXRS
Hang Hau,0,1-GDGYBPKSPA
Ha Kwai Chung,0,1-AEPPWBPXPG
Four Little Dragons,0,3-EGPPWPPVPK
Fo Tan,0,1-XSHSTHZHNT
Fanling,0,1-GEPPWYPYPB
Diamond Hill,0,1-EYPPWWPJPS
City One Shatin,0,1-DFRSQRRXRO
Choi Hung,0,1-EYKSPPSSPY
Chi Lok,0,1-BGAKGPSXPS
Cheung Sha Wan,0,1-EGPPWBPYPK
Cheung Chau,0,1-LMLZIHHXDH
Chai Wan,0,1-SGPPPPWXSB
Jordan,0,1-MMSTIHDAHN
Kam Tin,0,1-BEPPWDPOPG
Olympic Station,0,3-EEPPWPPEPW
Kau To Shan,0,1-DBSPWYPXPA
North Point,0,1-SBYDBPDVPA
Ngau Tam Mei,0,1-BKGPWPPAPA
Ngau Chi Wan,0,1-UFQDFRSEOF
Nam Cheong Station,0,1-EEPPWDPHPS
Mong Kok,0,1-MMINTHMYHL
Mid-Levels West,0,1-SKPPWKPEPS
Mid-Levels Central,0,2-OSJJQRRJRR
Ma On Shan,0,1-DBPPWEPXPD
Long Ping,0,1-BEPPWKPSPK
Lok Fu,0,1-UFVVFROXRQ
Lohas Park,0,1-YAPPWKPAPW
Lam Tin,0,1-MLLNZHNYTI
Laguna,0,3-EKPPWPPEPK
Kwun Tong,0,1-EWPPWYPEPK
Kowloon City,0,1-MSILZHXSHN
Kowloon Bay,0,1-EYPPWDPXPP
Kornhill,0,2-OVCRFRSYRD
Yuen Long Station,0,1-BWPPWGPXPB
