id,region_id,region_name,subregion_id,subregion,district_id,district,sm_district_id,sm_district,combined_district_id,combined_district,int_district_id,int_district,int_sm_district_id,int_sm_district,estate_id,estate,building_id,building,building_first_op_date,unit,floor,floor_level,floor_level_id,flat,area,net_area,price,tags,tx_date,tx_type,last_tx_date,holding_period,last_price,mkt_type,source,original_source,update_date,gain,transaction_type,url_desc,location
NO2025032725032701850011,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E03374,Goldwin Heights,B000002413,Goldwin Heights,1994-07-03T16:00:00.000Z,U000811823,34,,,F,0,817,13550000,['LANDREG'],2025-03-26T16:00:00.000Z,S,1997-03-23T16:00:00.000Z,28,10900000,2,LANDREG,LANDREG,2025-03-27T23:09:44.000Z,24.31,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Goldwin-Heights-NO2025032725032701850011,"{'lat': 22.281654, 'lon': 114.15001}"
NO2025032725032700250070,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E08960,Valiant Park,B000002472,Valiant Park,1993-06-29T16:00:00.000Z,U000272057,15,Middle Floor,M,H,995,802,11950000,['LANDREG'],2025-03-26T16:00:00.000Z,S,2015-03-05T16:00:00.000Z,10.1,12300000,2,LANDREG,LANDREG,2025-03-27T23:09:44.000Z,-2.85,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Valiant-Park-NO2025032725032700250070,"{'lat': 22.280853, 'lon': 114.148707}"
NO2025032725032700850066,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010005,Mid-Levels West,100103-10010005,Mid-Levels West,53ND10001,Central And Western,130ND10001,Mid-Levels West,E06915,Park Height,B000003606,Park Height,1995-01-29T16:00:00.000Z,U000360849,12,Middle Floor,M,B,0,417,8000000,['LANDREG'],2025-03-26T16:00:00.000Z,S,2013-05-27T16:00:00.000Z,11.8,6000000,2,LANDREG,LANDREG,2025-03-27T23:09:44.000Z,33.33,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Park-Height-NO2025032725032700850066,"{'lat': 22.284146999999997, 'lon': 114.143209}"
I20250300533,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010001,Kennedy Town,100103-10010001,Kennedy Town,53ND10001,Central And Western,130ND10003,Kennedy Town,E12168,The Belcher's,B000025895,Block 5,2001-12-10T16:00:00.000Z,U000953076,15,Lower Floor,L,D,1409,1097,15180000,['LANDREG'],2025-03-26T16:00:00.000Z,S,2001-07-09T16:00:00.000Z,23.7,6016400,2,LANDREG,MIDLAND,2025-03-28T03:11:17.000Z,152.31,AB,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Kennedy-Town-The-Belcher-s-I20250300533,"{'lat': 22.2850555, 'lon': 114.1336435}"
NO2025032725032701350102,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E07473,Ryan Mansion,B000005039,Ryan Mansion,1986-12-23T16:00:00.000Z,U000479621,14,Middle Floor,M,D,344,238,3350000,['LANDREG'],2025-03-26T16:00:00.000Z,S,2007-04-19T16:00:00.000Z,17.9,1800000,2,LANDREG,LANDREG,2025-03-27T23:09:44.000Z,86.11,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Ryan-Mansion-NO2025032725032701350102,"{'lat': 22.280244, 'lon': 114.151228}"
NO2025032725032701990101,10,Hong Kong Island,1003,Southern,100303,Residence Bel-Air / Pokfulam,10030002,Residence Bel-Air / Pokfulam,100303-10030002,Residence Bel-Air / Pokfulam,53ND10001,Central And Western,130ND10001,Mid-Levels West,E04427,Jessville,B000097726,Jessville Tower,2019-09-26T16:00:00.000Z,U002990249,11,Higher Floor,H,B,0,1358,26752600,"['LANDREG', 'FIRSTHAND']",2025-03-26T16:00:00.000Z,S,,,,1,LANDREG,LANDREG,2025-03-28T04:10:06.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Jessville-NO2025032725032701990101,"{'lat': 22.267429999999997, 'lon': 114.13286}"
I20250202034,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010005,Mid-Levels West,100103-10010005,Mid-Levels West,53ND10001,Central And Western,130ND10001,Mid-Levels West,E06930,Park View Court,B000003696,Block A,1973-12-26T16:00:00.000Z,U000880152,5,Lower Floor,L,A4,0,1455,18680000,['LANDREG'],2025-03-25T16:00:00.000Z,S,2006-05-28T16:00:00.000Z,18.8,7690000,2,LANDREG,MIDLAND,2025-03-27T03:14:20.000Z,142.91,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Park-View-Court-I20250202034,"{'lat': 22.283372999999997, 'lon': 114.145157}"
NO2025032625032600860116,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E000016951,The Richmond,B000091952,The Richmond,2021-09-15T16:00:00.000Z,U002868105,8,Lower Floor,L,A,0,304,6300000,['LANDREG'],2025-03-25T16:00:00.000Z,S,2020-03-15T16:00:00.000Z,5,9266520,2,LANDREG,LANDREG,2025-03-26T23:14:50.000Z,-32.01,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-The-Richmond-NO2025032625032600860116,"{'lat': 22.281029999999998, 'lon': 114.15005}"
I20250301871,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E07473,Ryan Mansion,B000005039,Ryan Mansion,1986-12-23T16:00:00.000Z,U000479603,,Middle Floor,M,C,384,266,14000,['MIDLAND'],2025-03-25T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-03-28T07:06:03.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Ryan-Mansion-I20250301871,"{'lat': 22.280244, 'lon': 114.151228}"
NO2025032625032601890023,10,Hong Kong Island,1003,Southern,100303,Residence Bel-Air / Pokfulam,10030002,Residence Bel-Air / Pokfulam,100303-10030002,Residence Bel-Air / Pokfulam,53ND10001,Central And Western,130ND10001,Mid-Levels West,E04427,Jessville,B000097726,Jessville Tower,2019-09-26T16:00:00.000Z,U002990230,2,Lower Floor,L,A,0,1431,24899400,"['LANDREG', 'FIRSTHAND']",2025-03-25T16:00:00.000Z,S,,,,1,LANDREG,LANDREG,2025-03-27T03:14:20.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Jessville-NO2025032625032601890023,"{'lat': 22.267429999999997, 'lon': 114.13286}"
